24	HGDP00007	Brahui	0.967599	0.005373	0.005049	0.000010	0.002249	0.019720
34	HGDP00033	Brahui	0.976995	0.000494	0.000010	0.003570	0.000010	0.018921
27	HGDP00017	Brahui	0.981037	0.008326	0.000010	0.000010	0.000010	0.010607
22	HGDP00003	Brahui	0.964132	0.010628	0.004650	0.000010	0.015847	0.004732
31	HGDP00025	Brahui	0.956358	0.033592	0.000010	0.000010	0.010020	0.000010
41	HGDP00049	Brahui	0.945076	0.013310	0.029956	0.000010	0.011638	0.000010
36	HGDP00037	Brahui	0.947598	0.029525	0.014280	0.000010	0.008578	0.000010
23	HGDP00005	Brahui	0.935426	0.061249	0.002713	0.000010	0.000592	0.000010
40	HGDP00047	Brahui	0.946030	0.044755	0.000010	0.000155	0.000010	0.009040
32	HGDP00027	Brahui	0.952305	0.000010	0.000010	0.032663	0.010468	0.004545
33	HGDP00031	Brahui	0.950177	0.018754	0.000010	0.000010	0.019216	0.011834
39	HGDP00045	Brahui	0.954182	0.030538	0.000010	0.015250	0.000010	0.000010
35	HGDP00035	Brahui	0.944938	0.000010	0.050826	0.000010	0.000010	0.004206
25	HGDP00011	Brahui	0.950088	0.049872	0.000010	0.000010	0.000010	0.000010
29	HGDP00021	Brahui	0.972898	0.005315	0.000010	0.000010	0.000010	0.021757
21	HGDP00001	Brahui	0.950986	0.032562	0.015182	0.000010	0.001250	0.000010
26	HGDP00015	Brahui	0.949790	0.049394	0.000010	0.000010	0.000010	0.000785
38	HGDP00043	Brahui	0.944483	0.036717	0.011135	0.000010	0.000010	0.007646
30	HGDP00023	Brahui	0.954351	0.000010	0.000010	0.016239	0.029381	0.000010
28	HGDP00019	Brahui	0.905115	0.035356	0.048137	0.000010	0.000010	0.011372
37	HGDP00039	Brahui	0.917597	0.000010	0.020723	0.043963	0.010824	0.006883
10	HGDP00074	Balochi	0.966602	0.013612	0.000010	0.019756	0.000010	0.000010
19	HGDP00096	Balochi	0.940430	0.011288	0.048252	0.000010	0.000010	0.000010
15	HGDP00088	Balochi	0.951734	0.024518	0.000010	0.023718	0.000010	0.000010
14	HGDP00086	Balochi	0.951817	0.016912	0.000010	0.000010	0.013243	0.018007
6	HGDP00064	Balochi	0.967629	0.026201	0.000010	0.000010	0.000010	0.006140
18	HGDP00094	Balochi	0.924700	0.017096	0.000010	0.044597	0.009584	0.004013
7	HGDP00066	Balochi	0.967952	0.007627	0.019196	0.000010	0.005205	0.000010
